
Train set: Average loss: 0.0214, Accuracy: 244/425 (57%)


Train set: Average loss: 0.0194, Accuracy: 288/425 (68%)


Train set: Average loss: 0.0184, Accuracy: 289/425 (68%)


Train set: Average loss: 0.0182, Accuracy: 299/425 (70%)


Train set: Average loss: 0.0162, Accuracy: 331/425 (78%)


Train set: Average loss: 0.0155, Accuracy: 330/425 (78%)


Train set: Average loss: 0.0135, Accuracy: 351/425 (83%)


Train set: Average loss: 0.0136, Accuracy: 343/425 (81%)


Train set: Average loss: 0.0148, Accuracy: 337/425 (79%)


Train set: Average loss: 0.0137, Accuracy: 348/425 (82%)


 The epoch is 10, average recall: 0.6724, average precision: 0.6610,average F1: 0.6667, average accuracy: 0.6695, average AUC: 0.7761
Train set: Average loss: 0.0129, Accuracy: 345/425 (81%)


Train set: Average loss: 0.0110, Accuracy: 363/425 (85%)


Train set: Average loss: 0.0121, Accuracy: 354/425 (83%)


Train set: Average loss: 0.0107, Accuracy: 364/425 (86%)


Train set: Average loss: 0.0095, Accuracy: 375/425 (88%)


Train set: Average loss: 0.0093, Accuracy: 372/425 (88%)


Train set: Average loss: 0.0088, Accuracy: 375/425 (88%)


Train set: Average loss: 0.0104, Accuracy: 374/425 (88%)


Train set: Average loss: 0.0094, Accuracy: 376/425 (88%)


Train set: Average loss: 0.0102, Accuracy: 375/425 (88%)


 The epoch is 20, average recall: 0.6724, average precision: 0.7800,average F1: 0.7222, average accuracy: 0.7458, average AUC: 0.8181
Train set: Average loss: 0.0085, Accuracy: 383/425 (90%)


Train set: Average loss: 0.0064, Accuracy: 393/425 (92%)


Train set: Average loss: 0.0053, Accuracy: 398/425 (94%)


Train set: Average loss: 0.0070, Accuracy: 394/425 (93%)


Train set: Average loss: 0.0084, Accuracy: 379/425 (89%)


Train set: Average loss: 0.0085, Accuracy: 380/425 (89%)


Train set: Average loss: 0.0072, Accuracy: 383/425 (90%)


Train set: Average loss: 0.0047, Accuracy: 407/425 (96%)


Train set: Average loss: 0.0070, Accuracy: 389/425 (92%)


Train set: Average loss: 0.0047, Accuracy: 403/425 (95%)


 The epoch is 30, average recall: 0.7414, average precision: 0.7963,average F1: 0.7679, average accuracy: 0.7797, average AUC: 0.8514
Train set: Average loss: 0.0043, Accuracy: 409/425 (96%)


Train set: Average loss: 0.0043, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0039, Accuracy: 410/425 (96%)


Train set: Average loss: 0.0050, Accuracy: 399/425 (94%)


Train set: Average loss: 0.0060, Accuracy: 395/425 (93%)


Train set: Average loss: 0.0053, Accuracy: 395/425 (93%)


Train set: Average loss: 0.0046, Accuracy: 403/425 (95%)


Train set: Average loss: 0.0041, Accuracy: 406/425 (96%)


Train set: Average loss: 0.0056, Accuracy: 401/425 (94%)


Train set: Average loss: 0.0033, Accuracy: 411/425 (97%)


 The epoch is 40, average recall: 0.7586, average precision: 0.7719,average F1: 0.7652, average accuracy: 0.7712, average AUC: 0.8092
Train set: Average loss: 0.0045, Accuracy: 400/425 (94%)


